nome,pontos,mapa,data,dificuldade,time
rebeca,112,sexta-feira 13,31-08-2020 10:45:39,1,17.983
rebeca,110,sexta-feira 13,31-08-2020 10:47:40,1,25.976
rebeca,100,sexta-feira 13,01-09-2020 14:20:17,1,14.98
rebeca,100,sexta-feira 13,31-08-2020 10:48:30,1,46.02
rebeca,85,sexta-feira 13,30-08-2020 18:57:06,1,5.98
rebeca,55,sexta-feira 13,30-08-2020 18:54:00,3,11.974
rebeca,55,sexta-feira 13,30-08-2020 18:53:04,3,11.983
